run_id,K,N,variant,precision,recall,f1
deeplab_K10_N2_no-remove,10,2,no-remove,0.7305535271495209,0.6519565316140075,0.6628623625542838
deeplab_K10_N2_remove-unknown,10,2,remove-unknown,0.68207136020409,0.6523740920592749,0.664817586961091
deeplab_K10_N3_no-remove,10,3,no-remove,0.674962138454787,0.6525932968321144,0.6616774197969235
deeplab_K10_N3_remove-unknown,10,3,remove-unknown,0.676460382893124,0.6534884051541099,0.6631761087720291
deeplab_K10_N4_no-remove,10,4,no-remove,0.6940200326383167,0.6623490446596962,0.6736359860028531
deeplab_K10_N4_remove-unknown,10,4,remove-unknown,0.7318651521889559,0.6530426361280592,0.6678834125371176
deeplab_K50_N2_no-remove,50,2,no-remove,0.6807007806488281,0.6546568438105809,0.6655273054118019
deeplab_K50_N2_remove-unknown,50,2,remove-unknown,0.684292111163721,0.6491334682569836,0.6625070631626189
deeplab_K50_N3_no-remove,50,3,no-remove,0.6808951463139101,0.6554197403791093,0.6649171320384255
deeplab_K50_N3_remove-unknown,50,3,remove-unknown,0.6834935258905528,0.6576166109487267,0.6685422249185466
deeplab_K50_N4_no-remove,50,4,no-remove,0.6888607037347154,0.6597611206074253,0.6710131846933984
deeplab_K50_N4_remove-unknown,50,4,remove-unknown,0.6791938975753244,0.6505643021436038,0.6625223334841526
deeplab_K100_N2_no-remove,100,2,no-remove,0.6916645532058904,0.6495856071421493,0.6660988292259735
deeplab_K100_N2_remove-unknown,100,2,remove-unknown,0.6913952869073361,0.6614889659936211,0.6732402914492918
deeplab_K100_N3_no-remove,100,3,no-remove,0.689231019934176,0.65377518935262,0.6671934178845539
deeplab_K100_N3_remove-unknown,100,3,remove-unknown,0.7120955878803561,0.6467173907518573,0.660473455251818
deeplab_K100_N4_no-remove,100,4,no-remove,0.685848925187727,0.6598416178920554,0.6702625029058484
deeplab_K100_N4_remove-unknown,100,4,remove-unknown,0.6716927341030312,0.6509245686477225,0.6593059984205139
